WKT;HRB_Number
"POINT (-117.222099876391525 32.742478172218895)";   1017.00000000000
"POINT (-117.185431292136471 32.752067327917466)";   1018.00000000000
"POINT (-117.220291036160802 32.742311479183421)";   1019.00000000000
"POINT (-117.220862100121863 32.741740566603724)";   1020.00000000000
"POINT (-117.158709349789788 32.742683161262988)";   1021.00000000000
"POINT (-117.130631532897453 32.738095812815871)";   1022.00000000000
"POINT (-117.141475758111866 32.763513695768893)";    581.00000000000
"POINT (-117.164600854797641 32.738475381462223)";    582.00000000000
"POINT (-117.177418262868443 32.753540531994595)";    583.00000000000
"POINT (-117.130843852209011 32.722663925836841)";    584.00000000000
"POINT (-117.224544891429105 32.745523299855307)";    585.00000000000
"POINT (-117.171667790275691 32.748116126947025)";    586.00000000000
"POINT (-117.270405700708253 32.84558410619487)";    587.00000000000
"POINT (-117.108415352714687 32.773720098119838)";    588.00000000000
"POINT (-117.156229878139683 32.710101802727451)";    590.00000000000
"POINT (-117.103395230673115 32.770344588642132)";    591.00000000000
"POINT (-117.103503214372921 32.764027637675845)";    592.00000000000
"POINT (-117.186851122714558 32.751420360266287)";    593.00000000000
"POINT (-117.179732824873497 32.751567169697054)";    594.00000000000
"POINT (-117.182306451072876 32.7488809822582)";    595.00000000000
"POINT (-117.261356371791294 32.830232447753879)";    596.00000000000
"POINT (-117.106467692675665 32.774218123742941)";    597.00000000000
"POINT (-117.174512437793595 32.738530257880655)";    598.00000000000
"POINT (-117.163379927059793 32.740050381639762)";    599.00000000000
"POINT (-117.180690001339514 32.754888172498319)";    600.00000000000
"POINT (-117.191103081539268 32.755153009858631)";    601.00000000000
"POINT (-117.176565909079059 32.751927320891532)";    602.00000000000
"POINT (-117.12048140379801 32.734026279095694)";    603.00000000000
"POINT (-117.216731813887435 32.74013350215818)";    604.00000000000
"POINT (-117.180572830251819 32.755342061762875)";    427.00000000000
"POINT (-117.133398058681067 32.743641908291053)";    428.00000000000
"POINT (-117.187397515526001 32.751434617017885)";    429.00000000000
"POINT (-117.126413823211877 32.730321613813068)";    430.00000000000
"POINT (-117.26613308735979 32.847207632771081)";    431.00000000000
"POINT (-117.263688668327006 32.848956455652385)";    432.00000000000
"POINT (-117.110221127688305 32.953594365961841)";    433.00000000000
"POINT (-117.160100090870841 32.74366594269059)";    434.00000000000
"POINT (-117.126215445744805 32.730320827813998)";    435.00000000000
"POINT (-117.178323841016436 32.754417309829151)";    436.00000000000
"POINT (-117.167954020038039 32.739295273888395)";    437.00000000000
"POINT (-117.127956677721471 32.732435036774561)";    438.00000000000
"POINT (-117.1664648041058 32.740311096169187)";    439.00000000000
"POINT (-117.161644576766847 32.729539167613581)";    440.00000000000
"POINT (-117.132354724047275 32.721769115120622)";    443.00000000000
"POINT (-117.133314123912029 32.733464221521949)";    444.00000000000
"POINT (-117.164186487428125 32.745539400217304)";    445.00000000000
"POINT (-117.184301208719774 32.756489863554386)";    446.00000000000
"POINT (-117.147574262867892 32.746244135521096)";    448.00000000000
"POINT (-117.277300582835537 32.845670418889334)";    449.00000000000
"POINT (-117.104183372154935 32.910516233418633)";    450.00000000000
"POINT (-117.133392484661613 32.742325235996688)";    452.00000000000
"POINT (-117.237327178544206 32.710981761503334)";    453.00000000000
"POINT (-117.128316256873276 32.732606940545523)";    454.00000000000
"POINT (-117.133902598855244 32.741989122540538)";    456.00000000000
"POINT (-117.127948333527655 32.732718521940768)";    457.00000000000
"POINT (-117.151525646435132 32.706803539283754)";    458.00000000000
"POINT (-117.158971321540562 32.715948271336075)";    459.00000000000
"POINT (-117.235737833607928 32.716445510952695)";    460.00000000000
"POINT (-117.099805467488565 32.766196239496963)";    462.00000000000
"POINT (-117.27070989641642 32.847812709998138)";    463.00000000000
"POINT (-117.099021385205532 32.763515976250588)";    464.00000000000
"POINT (-117.178274385145201 32.753557662558691)";    942.00000000000
"POINT (-117.251686181544514 32.750659036852362)";    943.00000000000
"POINT (-117.238864084460744 32.72037825155958)";    944.00000000000
"POINT (-117.150587695811438 32.709166463128398)";    945.00000000000
"POINT (-117.146454182706648 32.757529526752741)";    946.00000000000
"POINT (-117.184282006653149 32.751876550686823)";    947.00000000000
"POINT (-117.171994043791685 32.748362371422651)";    948.00000000000
"POINT (-117.166368022294265 32.746586929787718)";    949.00000000000
"POINT (-117.173719519966653 32.742261247672779)";    950.00000000000
"POINT (-117.241250892171166 32.743817390554469)";    773.00000000000
"POINT (-117.241073693208051 32.74425548947643)";    774.00000000000
"POINT (-117.159873961204866 32.715942955243676)";    465.00000000000
"POINT (-117.237210741879025 32.711427817566239)";    466.00000000000
"POINT (-117.191294740601734 32.754183524401668)";    467.00000000000
"POINT (-117.154087077260186 32.719140604838785)";    468.00000000000
"POINT (-117.123054160981866 32.763084138314305)";    469.00000000000
"POINT (-117.125620726896756 32.716117790291548)";    470.00000000000
"POINT (-117.133220606244151 32.724313184609464)";    472.00000000000
"POINT (-117.248746607798566 32.87262990421619)";    473.00000000000
"POINT (-117.257969731348595 32.828097706735321)";    480.00000000000
"POINT (-117.098859570859034 32.771289395376058)";    474.00000000000
"POINT (-117.132189540037132 32.741969096465887)";    475.00000000000
"POINT (-117.187099952486648 32.751600987305679)";    476.00000000000
"POINT (-117.223994171990228 32.745189746071979)";    477.00000000000
"POINT (-117.12723331091064 32.730325290384911)";    478.00000000000
"POINT (-117.105606749157516 32.768262634017084)";    743.00000000000
"POINT (-117.18527217348408 32.750976656937148)";    744.00000000000
"POINT (-117.186103182184155 32.750975164815422)";    745.00000000000
"POINT (-117.168011518645628 32.73901143897907)";    746.00000000000
"POINT (-117.2607431927524 32.837352202335367)";    702.00000000000
"POINT (-117.186553240467376 32.755678593173023)";    703.00000000000
"POINT (-117.152596940510733 32.752536900546687)";    704.00000000000
"POINT (-117.177087388135988 32.754552754315078)";    705.00000000000
"POINT (-117.179401071591769 32.753109209382963)";    706.00000000000
"POINT (-117.12843626733833 32.729979392678651)";    747.00000000000
"POINT (-117.18428120446373 32.752149539416941)";    748.00000000000
"POINT (-117.100117630811312 32.763097998016761)";    749.00000000000
"POINT (-117.239463139661837 32.709442087005684)";    750.00000000000
"POINT (-117.160738834511974 32.710595223878997)";      9.00000000000
"POINT (-117.146079036447603 32.708112091075925)";     11.00000000000
"POINT (-117.194246949397055 32.751593790384021)";     15.00000000000
"POINT (-117.196925319162872 32.751857242982503)";     21.00000000000
"POINT (-117.194408694141316 32.752810840505575)";     24.00000000000
"POINT (-117.193767654641476 32.758380369719838)";     25.00000000000
